Mvir,Menv,Rvir,Xc,Yc,Zc
1584544117647.0586,45383981907028.016,253.24,13945.03042181,58258.59080932,16119.53708366
1573720588235.294,65579276511268.06,252.66,3337.182814,56181.97442091,22690.62428035
1570558823529.4116,28103545944466.625,252.49,29362.96268946,13873.17763793,39158.8378573
1569573529411.7646,87545510221533.95,204.75,16705.46698882,18462.16454974,6374.63674623
1569191176470.5881,77708528019296.89,252.42,5945.62899394,16184.2877168,9528.99973413
1567544117647.0586,32502321053597.617,252.33,54108.87125376,53455.45202521,47228.15047673
1567058823529.4116,48085717991788.84,252.31,43710.93408973,14307.03124654,3522.17923064
1561632352941.1763,28320721694638.06,252.01,31917.91868687,26221.48673576,12909.83535041
1558500000000.0,46255795497885.5,251.84,1032.28406869,57180.84174743,13999.85444931
1558352941176.4705,80455933223397.17,251.84,35964.43588585,24476.32030034,57236.7839361
1552661764705.8823,79283405684195.73,251.53,35135.4719678,21688.04251506,56718.0838732
1548411764705.8823,38846534664372.83,251.31,27793.78346748,56125.78290769,29987.37164332
1543632352941.1763,52107569693368.71,251.04,18957.40816896,20188.05488308,17139.09048984
1542176470588.235,102569778576357.72,250.96,51660.69703494,14354.82108241,24055.0376404
1539970588235.294,62213052383610.71,250.85,6676.59422089,10823.32362424,41163.53088032
1538588235294.1174,87617619357333.06,250.77,56499.12138224,3113.89329641,40104.03410443
1538044117647.0586,102372680271840.14,250.74,50728.82710765,19051.39545231,54519.84336887
1537808823529.4116,32440014989854.86,250.73,38212.32013143,15797.06393733,7157.59313376
1536250000000.0,71333444157574.83,250.64,11200.39726937,3232.60491151,7553.40498217
1533897058823.5293,37786860279204.734,250.51,6580.73556104,12297.24137372,23547.75978234
1533808823529.4116,67609502160168.945,250.51,16368.27936466,11946.88690707,22529.83650792
1532867647058.8235,34245524063925.508,250.48,47273.0102772,27311.66053329,26772.46194696
1532750000000.0,26042285089079.71,250.45,23443.10974143,57437.68517361,47541.03205734
1532529411764.7058,64177955638905.33,250.44,28369.3689136,26211.61011333,49884.70812364
1530676470588.235,36139849913429.77,250.34,57068.49199313,55567.4579231,42870.2924522
1528617647058.8235,48855918970369.945,250.23,22767.69673672,48431.64173497,27004.87302323
1523441176470.5881,57113734663683.516,249.94,28449.76188756,9463.24640652,6862.25455983
1523294117647.0586,48725014967309.8,249.94,55230.28077293,27179.71523431,21379.78490058
1521294117647.0586,35998341625693.28,249.83,58129.1194798,16835.91982081,13549.36463707
1516558823529.4116,34310940717840.0,249.59,17230.96660624,8988.48002898,14012.29587234
1515985294117.647,57615105243180.87,249.53,16450.49423362,14933.26612487,12814.37346715
1515632352941.1763,30612991000429.758,249.52,13235.99807507,23928.80133691,56963.81443889
1511117647058.8235,30295074545833.098,249.27,13594.90368885,28563.60253876,20774.82641981
1508970588235.294,37473303363863.9,249.15,22400.88813934,18022.57559358,56109.68743794
1508514705882.3528,32778857232879.496,249.13,38335.71572585,16942.26684436,56341.70524924
1507338235294.1174,40893373692599.92,249.06,14313.86535583,46711.66301437,21762.5359951
1503705882352.9412,42719054472632.67,248.86,4635.23655719,53838.74208658,25706.25435226
1502102941176.4705,66898237439311.23,248.78,57461.30510572,2172.2554126,26226.23152743
1493367647058.8235,77163161440931.27,248.29,53533.69213931,43066.76537544,53409.80678434
1492617647058.8235,56013952517361.77,248.24,8691.13899722,36033.45570015,14690.48093912
1491676470588.235,31600202773642.87,248.2,11820.51019171,25093.04250043,47004.20638357
1487588235294.1174,55054736055694.17,247.97,17349.8758426,6155.17085951,9366.71567798
1481352941176.4705,34545224713955.926,247.62,34849.81366788,41075.64686401,10347.46797396
1473691176470.5881,43556675136678.22,247.21,34309.70433612,28119.80229817,34114.78325665
1473235294117.647,91495229222237.67,247.16,34380.47740192,21973.25001741,56980.56785365
1472794117647.0588,39945704118691.03,247.14,58165.30431784,21180.9340311,22345.63206493
1471735294117.647,65396435078370.91,247.08,20024.03792475,25992.85474389,15018.3108153
1470750000000.0,50998361516223.555,247.02,4685.68176164,9075.93157042,37768.48374988
1469258823529.4116,64711280462894.05,246.95,46907.86499196,17712.6209691,53678.89972104
1468952941176.4705,40840328704141.164,246.92,49575.65121942,53742.26905033,41030.70585736
1467608823529.4116,33364001661319.918,246.85,57307.10876652,53294.34417608,43011.85418966
1464451470588.235,60324570673216.914,246.68,8925.19442677,10069.10362762,48935.26437616
1463555882352.9412,51275156911353.086,246.62,9439.82460887,28360.55315821,22679.95260052
1462048529411.7646,50816721902256.38,246.54,1994.65723349,29781.93380515,1018.66858957
1453870588235.294,50435768866528.125,246.08,50680.23900034,24371.49549484,1231.07177092
1448686764705.8823,30864618893260.773,245.81,18027.67565432,39703.67584028,139.60735161
1448663235294.1174,50089857100385.92,245.78,6449.86673201,40059.14295122,44342.98008617
1443195588235.294,28323172462652.15,245.47,39772.16505461,8986.28423434,35969.34909741
1442536764705.8823,50412722221164.88,245.44,35098.05520183,20410.43451524,34439.15658106
1442513235294.1174,92734186713667.11,245.43,49796.20009512,18045.17111968,55416.65693601
1434854411764.7058,48621870625024.586,245.0,6025.99034612,27725.5135942,6560.08655821
1431767647058.8235,31121336842736.426,244.87,10560.88829466,26306.63089134,6585.76037665
1430282352941.1763,32007737216293.13,244.74,32431.3532002,4300.41972088,6040.83974913
1429316176470.5881,55657507161774.39,244.69,3857.65032884,14145.1446445,8610.12643242
1424673529411.7646,58387073602541.37,244.42,30900.44285501,19861.58214029,634.07486779
1423119117647.0588,88510971428622.06,244.33,56966.69418199,4552.81615604,37462.15025413
1415836764705.8823,43416510058334.07,243.91,32865.05969817,15394.13329174,24785.17106446
1411925000000.0,88927177819629.89,243.69,29088.29728201,31742.46389199,10588.34646892
1409827941176.4705,34363396579372.29,243.57,51636.62703783,4735.74549226,25700.35957272
1409663235294.1174,56836727182860.46,243.56,13382.16421954,20703.62190854,23729.19129537
1404997058823.5293,34242484168984.957,243.29,5431.48681798,47191.13857399,27516.04516389
1404148529411.7646,49995879573076.49,243.25,31126.69822091,8241.72411262,54995.23339108
1403654411764.7058,65052125737468.68,243.21,29168.29939445,14240.76749365,5345.99598289
1402994117647.0588,53570725327933.05,243.17,32570.60145489,10340.33279007,4343.65664514
1401769117647.0588,44989761732915.82,243.1,26278.81718199,43990.41832723,24744.03942753
1397644117647.0588,43492130390614.9,242.87,23162.95133206,57851.65272167,22852.12116105
1397644117647.0588,53991220562965.51,242.86,41276.74642063,14881.42635456,16742.84159224
1397008823529.4116,73247988843195.38,242.83,15448.24227236,13607.59285415,19359.93279979
1396607352941.1763,24995500801062.637,242.82,47653.61282407,54162.1624651,16879.68271276
1386122058823.5293,76831930717796.52,242.19,8576.72032155,27640.81102308,17764.81353922
1385485294117.647,39590130670954.83,242.15,29052.11122764,42192.33590042,35365.82724429
1382586764705.8823,31946303060401.54,241.99,36862.42965707,19320.49947773,21206.07625733
1382422058823.5293,27999553259407.316,241.98,22805.46627304,48036.95284168,8461.3068078
1382091176470.5881,28151383050895.44,241.96,49938.60902031,46272.57242265,12031.59707583
1381148529411.7646,48815929034601.61,241.91,1210.6781259,27780.76331054,49140.70063109
1380372058823.5293,31837668055161.703,241.86,30155.64076542,34550.68358108,35976.37056746
1380111764705.8823,47198351450072.71,241.84,57552.05396506,20461.56956843,22872.24978805
1379405882352.9412,71866368375253.56,241.8,50963.9713192,42311.96518421,53153.64112139
1378226470588.235,40679614878601.97,241.73,25831.03488266,51341.74339036,36428.29378049
1376270588235.294,39449258640298.92,241.62,50013.92864323,6684.57375112,26630.79732446
1375517647058.8235,60083099328598.12,241.57,28406.52928488,47915.91910847,25731.11324193
1374951470588.235,39516018503605.74,241.54,15196.85856887,54612.10857399,20415.29350884
1374457352941.1763,55303818920202.875,236.5,24265.09313243,29842.38917759,13746.48505054
1373585294117.647,40269181931473.51,241.48,47911.60633633,26885.39372511,16884.2562213
1370827941176.4705,31655557139653.363,241.3,29560.72104737,31009.03051281,17028.93539795
1370426470588.235,40698325549786.445,241.28,19689.52698112,45668.99442434,32003.58890057
1360907352941.1763,24506384061635.73,240.72,39945.98356215,38147.40252641,24420.49803883
1360482352941.1763,51501405216192.06,204.27,54110.26808877,21153.32159946,22874.20894638
1359492647058.8235,95199046643835.58,240.63,52854.8587843,20836.76748162,51495.2574124
1358998529411.7646,85292193988119.95,240.61,13553.98058725,4618.29741657,8767.46493325
1356123529411.7646,66490278825273.91,240.44,54234.80990437,36790.18314484,4380.50864787
1352823529411.7646,94668196152938.0,240.24,57551.36730301,4271.15476767,39261.48261053
1352070588235.294,69369177159360.79,240.19,14076.88504197,52956.14706367,29524.7073075
1350232352941.1763,47976988726240.77,240.1,32305.03183188,17812.15264773,39776.70660872
1343469117647.0588,32670340053024.953,239.69,9632.82957985,4655.08155609,13471.57453898
1343091176470.5881,40124775139258.82,239.69,22283.67406801,56465.11125211,12917.37844166
1339414705882.3528,40040011557079.27,239.44,20904.15447199,56922.97015857,14712.60845205
1339297058823.5293,75440483612721.31,239.44,15488.27138216,12522.14228319,22059.5348825
1336022058823.5293,56982924920931.6,239.24,19272.38311542,23760.11586525,15365.06177031
1330389705882.3528,93513931548456.9,238.9,56849.81852208,16583.54619896,19174.23349885
1329447058823.5293,51483990624245.805,238.85,27588.06844281,58080.25347302,24948.47370399
1328386764705.8823,68887153508128.49,238.78,55343.69827493,18788.28586218,19019.66058993
1326266176470.5881,68770812722690.516,238.66,36625.65216842,22092.85242922,55836.56713496
1324876470588.235,38034505674012.85,238.57,16146.72348,36023.05591101,53565.35238223
1322660294117.647,33050939612597.312,238.44,27705.00900366,56798.02931909,36450.89038019
1321082352941.1763,100109301750522.16,238.35,23489.82577666,49895.53276195,22523.78718189
1318254411764.7058,27538054790293.01,238.17,23836.93462047,37923.75301017,23543.27126784
1316722058823.5293,41601669213748.234,238.1,42066.26090368,14117.38274493,726.67351517
1311538235294.1174,65129254234681.26,237.82,14346.27871639,12884.36633144,27576.04295915
1311019117647.0588,59774326123900.16,237.74,19712.20541121,29207.23200031,15218.116283
1309535294117.647,145220588585830.0,203.58,155.20295622,5697.68727587,39551.08816364
1308851470588.235,61088526906377.5,237.61,1203.62208906,4203.00715998,13128.8441518
1307036764705.8823,68719016683315.86,237.5,56289.83649787,44271.29567683,50096.15476578
1306589705882.3528,44306704409297.195,237.47,18170.630277,57025.48453331,10443.04211577
1306023529411.7646,54902222876971.35,237.45,57979.470893,38603.52334008,7312.58196272
1305976470588.235,27669147313969.63,237.44,25675.99666368,28764.49651821,18766.18464229
1305316176470.5881,34900821726769.188,237.39,51139.50409471,26732.36324503,26453.49852998
1301970588235.294,63897931828218.78,237.2,13179.04037555,6352.43832519,28230.97551658
1301711764705.8823,32003542632576.715,237.18,17603.31765509,54810.76178149,6510.97782215
1301004411764.7058,35145922093254.984,237.15,12635.17540836,22195.46678368,15517.05190643
1295348529411.7646,73488211238730.06,236.8,55515.05004307,24203.39876301,51664.69142553
1290800000000.0,25401032212162.926,236.51,19193.29136346,19189.42342746,48719.09895367
1286464705882.3528,58022686815985.26,236.25,23390.2771005,21026.06673092,57171.80841034
1286347058823.5293,80945073527901.16,236.24,31382.32785138,41160.91457641,11733.07338747
1282741176470.5881,53524278561050.67,236.02,29397.39172113,25557.10842516,55390.21613639
1282010294117.647,54367696234052.64,235.97,17.02722942,12431.11232004,11215.95630929
1279277941176.4705,75199318614104.28,235.8,14486.04403167,13591.33523186,20764.17878002
1275789705882.3528,67229208946598.336,235.6,13084.99111567,17911.34003799,9471.63597672
1269992647058.8235,41225122847429.945,235.24,17923.95159505,29348.01685452,27950.56551948
1267942647058.8235,57009082156466.57,235.12,33326.65121651,26510.82515427,20482.96445368
1263370588235.294,42844609203200.54,234.84,9002.28795015,1405.51074977,44311.11024114
1261344117647.0588,46686989277902.55,234.71,55305.99664037,26551.41623951,21562.36315773
1259789705882.3528,69833102831412.14,234.61,21367.68106542,53024.90785209,33024.27636675
1259623529411.7646,40039987992002.22,234.59,33625.21205567,56733.77281622,4233.16491911
1251117647058.8235,42769106696305.0,234.06,36387.05319166,7734.25187081,54621.22247461
1248760294117.647,48549761489225.48,233.93,52760.00818556,26856.48835464,23743.57552788
1246710294117.647,42711702168590.414,233.78,14510.9892684,29189.17547328,30826.8254824
1243882352941.1763,36220395346815.836,233.61,26501.40066687,51458.82838607,36663.8475314
1240300000000.0,53348082479884.02,233.41,22282.15375371,2172.86044422,36686.38663125
1239122058823.5293,25784247495288.777,233.31,23947.6001633,49022.5857383,57849.94390114
1237826470588.235,39787511756397.1,233.24,30467.23158256,43977.19090423,5683.19846153
1237213235294.1177,88410631330506.83,233.19,32474.00381044,34699.6439827,8838.34997098
1236200000000.0,59203085090924.26,233.14,23059.77379386,20307.47780064,1183.08585283
1235823529411.7646,124588727364003.55,233.1,29570.84827475,33947.0234251,10723.39762974
1226373529411.7646,39768117697977.93,232.52,56635.14177166,26511.30488836,57250.54999514
1222202941176.4705,43232254720813.4,232.26,28955.74528304,42065.077029,16619.61391338
1220623529411.7646,85673712585697.61,232.15,8530.89942808,26912.50707156,15139.82792435
1217230882352.9412,65320249184240.67,231.93,30431.87956583,25849.06130239,50176.71771313
1212988235294.1177,46679990450016.16,231.67,13160.6239171,18556.35750842,26189.26835215
1207333823529.4116,55432083634632.48,231.3,18031.69228328,14988.04480309,12405.91575502
1205989705882.3528,72850422428140.86,231.21,5599.21724494,3914.48530868,12713.25957583
1201394117647.0588,31930750109542.91,230.92,45255.97470467,52185.9621149,42352.92240679
1200145588235.294,101137069021353.03,230.84,51702.8886342,19472.48093724,55718.12774658
1199698529411.7646,64583510615082.69,230.81,28635.32181538,14593.30499345,3436.97846339
1199391176470.5881,65611419276375.91,230.79,7633.66126669,9271.25187157,45497.58677859
1196635294117.647,26337673330008.418,230.61,10083.04777089,1664.6910394,37309.49200179
1196611764705.8823,30566120062160.34,230.62,7109.74329995,23907.68404335,46168.56563699
1195055882352.9412,46757778769386.38,230.51,20324.51421868,56139.65816623,31880.95923828
1193972058823.5293,72149761991959.48,230.45,14791.83569446,4249.59255909,11081.32062143
1191026470588.235,54118307023542.19,194.12,34273.51131385,9750.52259083,41024.12861228
1185817647058.8235,46134859522421.11,229.94,12781.77755407,45896.5037677,21547.24182062
1185535294117.647,41559652681352.87,229.9,33228.6695524,14411.99269419,5490.29996201
1185205882352.9412,36329218872672.14,229.88,36402.09029103,9587.67954046,26417.93808524
1185182352941.1763,21069252617109.332,229.88,28462.36651701,18943.73970085,30858.62311882
1181341176470.5881,47622994138667.484,229.63,25715.03245441,19426.25748466,1063.63926243
1179573529411.7646,40444223323864.29,229.51,3459.84118954,13245.66561173,56317.04531566
1179244117647.0588,27286332637153.77,229.49,37726.81706873,54816.83613248,51660.80583201
1175944117647.0588,79507509567022.39,229.28,26180.77083994,54252.1539109,25754.40802664
1175095588235.294,28716921335223.168,229.23,41366.52947942,29332.62186423,21056.58458837
1174247058823.5293,46086386158911.7,229.17,56753.89187785,22208.64678507,50598.25327583
1172904411764.7058,27123592214987.543,229.08,39769.0050358,51846.06481088,30301.98418469
1172386764705.8823,59307360556908.26,229.05,57567.75321177,10621.46699097,14866.7974485
1171373529411.7646,50739098538425.56,228.99,49667.9086745,41399.67532056,54182.7406195
1168308823529.4116,44002125788315.664,228.78,47578.42904623,11278.37969166,56859.23518942
1161098529411.7646,54540451813968.74,228.31,28409.52235104,41801.54049762,31315.33464673
1159873529411.7646,31593981593299.418,228.23,10456.42386447,41409.43282217,45069.78993513
1157210294117.647,53937185841270.29,228.06,30497.21635638,9565.16989352,27038.24215269
1156644117647.0588,118547301428353.27,228.02,30372.39650855,37772.15398363,11444.90257721
1153604411764.7058,73080700361156.84,227.82,55191.320883,23780.39103678,51212.60042418
1153580882352.9412,36070545021800.63,227.83,36438.24237748,24075.15644079,50977.81935117
1153039705882.3528,35400024319177.14,227.79,25145.78809445,24899.38452106,744.75633841
1152073529411.7646,82038493103417.1,227.71,16128.51032219,17280.80014025,9437.08850496
1146864705882.3528,48583954416037.41,227.37,53720.05252719,21482.81349778,24457.11883128
1146700000000.0,40421011722961.63,227.36,22073.50328902,36390.33475985,25801.82381303
1144908823529.4116,60893408068332.84,227.24,12743.05176194,6732.53029926,29608.97655144
1143754411764.7058,35908912158256.15,227.17,13738.39196088,53574.33383606,34926.49449948
1143707352941.1763,26639259186203.52,227.17,11745.81200268,41430.20746196,32151.50317541
1142576470588.235,31688171206302.375,227.1,34650.54525132,21856.04696068,20431.78011939
1142127941176.4705,26409970986424.0,227.06,34131.59394539,54111.95922682,7866.08157702
1140714705882.3528,53841535193489.7,226.96,42402.4814798,15185.77237835,20558.94723009
1139913235294.1177,44694797663374.164,226.91,26551.23608201,43424.70347635,23825.05790098
1139466176470.5881,42577593315050.305,226.9,10177.97056314,2034.7740276,58080.06224267
1136944117647.0588,28210625654620.594,226.72,39134.10634883,37189.5870489,20190.93530011
1136732352941.1763,25836137794971.668,226.7,35042.1372605,57135.3150134,26039.71547522
1136354411764.7058,80482938801706.25,226.68,51870.07202943,41091.44885004,3879.7721581
1133857352941.1763,41589085462598.98,226.51,19485.88195517,57193.98582201,14551.49504333
1133314705882.3528,34497175521833.58,226.48,50844.41484905,23488.94195524,6986.95587143
1129733823529.4116,34621669823933.81,226.24,10553.39379879,58413.97013861,18310.58726602
1129616176470.5881,49776865746894.484,226.22,31475.36627655,7848.68608504,55399.69260104
1127588235294.1177,59270269125618.14,226.09,8617.19562308,33730.46832809,14996.97007033
1126976470588.235,36119560382082.375,226.05,52054.33976818,54300.17319592,40341.33194499
1125798529411.7646,56446560202002.33,225.97,34288.89539719,11033.26870748,40488.17944674
1125444117647.0588,41797400743796.41,225.95,26549.95092591,26936.91795548,49542.27106571
1124808823529.4116,45201258299516.16,225.9,17060.13591356,27908.46751333,13399.01238386
1124430882352.9412,42378916150369.82,225.88,17603.53117686,54996.7473891,42392.87641589
1123464705882.3528,38004106724607.34,225.81,35187.36048077,52862.4870585,28264.57491282
1121697058823.5293,64956239438917.51,225.69,54548.23763945,37797.42338989,4937.54991006
1118751470588.235,50487729861442.195,225.5,33461.76538607,9957.61569724,55124.97877889
1118398529411.7646,65822138195433.305,225.48,20926.86500153,27274.46060058,11834.86923517
1118280882352.9412,51702650974271.94,225.47,15007.17921369,50472.19089978,28189.23842749
1117197058823.5293,57576293561265.47,225.41,28671.0100165,10017.70197128,6748.80877424
1116795588235.294,40928179311415.375,225.36,36853.70581675,30011.28400728,1639.32629645
1115594117647.0588,52847725198700.18,225.28,53271.30529425,1452.51632325,20105.93536497
1114298529411.7646,33022331609048.254,225.2,52069.19435563,7701.0851836,11492.17644528
1113214705882.3528,51362583347240.24,225.14,14196.36922759,48559.361754,18028.54818858
1111752941176.4705,39164828160202.43,225.03,3356.20000683,21557.9421552,17938.88559328
1111094117647.0588,35515611022149.24,224.98,13638.53550126,35823.30110256,35597.62273466
1110763235294.1177,94007714173141.4,224.96,28591.13919488,48803.68072291,22976.24897287
1109161764705.8823,25304132615298.234,224.88,46221.74770202,39187.41721723,56589.93991235
1108407352941.1763,28742183097829.91,224.8,22948.52667811,2682.96095826,8840.80520743
1108123529411.7646,37194905543494.4,224.78,19285.10167364,39428.83301545,28762.93874849
1107347058823.5293,66212116655674.98,224.73,49761.65088963,19336.79229549,20397.21954521
1107276470588.235,42637754956780.74,224.72,22913.44773098,39819.64425405,55606.88102867
1106239705882.3528,53024180495714.484,224.67,57117.21361705,10446.08522435,15629.5110928
1103341176470.5881,61800145103391.09,224.46,7742.58215913,35496.42508996,15181.22404814
1093419117647.0587,81255449157839.08,223.79,54652.26498259,15284.85430106,45484.83633633
1092972058823.5293,40305071543833.66,223.75,18089.59861178,56759.46906524,9922.8156749
1092617647058.8235,27353210325845.887,223.73,7563.33924624,44141.49106426,13309.09293341
1092288235294.1176,53650987980394.41,223.71,23467.93563741,47955.4980611,26319.53414992
1091439705882.3529,38811163483707.98,223.65,46157.23592199,17268.17430522,17564.31186323
1090544117647.0587,114120271791828.98,153.02,56481.27418615,13892.08039998,22052.17086008
1089366176470.5881,24656894208808.58,223.51,36789.93609763,45916.59667028,48975.87235438
1086185294117.647,54364891989882.67,223.29,36384.61779098,28794.02377417,37665.6552735
1084535294117.647,72769547083675.97,223.18,52408.69793243,18040.33735052,50853.71488514
1083757352941.1764,34829631628975.355,223.12,5631.12138115,28356.17715112,10144.19426812
1083286764705.8823,29839396650752.25,223.1,47349.25414118,29035.73865661,25177.4633696
1082414705882.3529,55969037480488.2,223.03,33322.96462091,10763.98171296,4793.79120779
1078902941176.4705,37249717912732.55,222.79,10956.88534993,48414.4510644,20932.01047909
1078220588235.2941,48887896779938.375,222.74,30165.26927164,27290.47237189,47266.13225706
1077819117647.0587,53425069586634.25,222.71,21167.03585345,59.67627061,38578.23677426
1077724999999.9999,55359597457600.42,222.71,10556.99599326,158.91708865,1394.62340647
1077724999999.9999,81226652633673.56,222.71,52446.76061475,14062.20117673,28210.79893154
1077583823529.4117,36977093536242.375,222.7,53014.49346425,52930.88143935,51061.67781742
1074355882352.941,32794198098044.6,222.48,27458.85607976,238.22460099,9121.53433299
1073152941176.4705,50650800194687.25,222.39,47355.04354376,12053.23891646,28005.78593726
1071457352941.1764,40817399884163.21,222.28,4977.13984996,54397.83577124,28127.50261859
1071220588235.2941,54022255769451.59,222.26,17522.61951318,35918.35061142,26854.43424714
1069995588235.2941,82486889389686.86,222.17,51821.84076572,21021.22206616,51173.35076144
1069642647058.8235,54638246883761.66,222.15,12476.86687766,45317.364422,19511.0812078
1069383823529.4117,66435725671883.41,222.13,53305.03384981,17433.41953924,48790.47708337
1068204411764.7058,52659487363156.62,222.05,45710.52312519,12498.46037618,57648.60265805
1066013235294.1176,55927445119479.89,221.92,10541.32260324,25890.89401554,24471.8707444
1064245588235.2941,73836997944273.4,221.79,5846.69252539,14135.4869698,20382.60494941
1062879411764.7058,95952469287551.0,221.69,53066.22911656,21656.00179697,51877.84256747
1062407352941.1764,38519003658336.29,221.65,56165.10546867,42264.91859868,8645.14644149
1056210294117.647,43140280225053.945,221.21,53393.86927283,14795.29592115,41501.506449
1053664705882.3529,61508692230331.15,221.04,30186.01586248,26735.21392942,48904.96744274
1053664705882.3529,47782718230970.22,221.04,22634.90253677,47206.0129316,27330.61824594
1051708823529.4117,70473059629090.72,220.9,14627.01623279,53596.91585094,30021.16061763
1049399999999.9999,45168385017019.5,220.74,26271.51229997,39592.17104594,26870.90860665
1048151470588.2352,45203473416759.66,220.65,55298.8260411,3207.20614324,18362.76237373
1046572058823.5293,88911436348154.78,220.54,18645.49463034,53715.71143981,37876.83082158
